L->S 	 S->E 	 E->V 	 V->R 	 R->O 	 Service Time 	 FIRST TIME 	 LAST TIME 	 NAME 	 SIZE FILE 
63.000	61.000	56.000	114.000	51.000	39448.000	1528207225960370.000	1528207225999818.000	024_206.jpg	31930.000 
9.000	51.000	13677.000	38.000	51.000	48080.000	1528207225968575.000	1528207226016655.000	fw_01 (188).jpg	46707.000 
2601.000	46.000	23821.000	31.000	55.000	625233.000	1528207225969896.000	1528207226595129.000	american-flag-2.jpg	5507.000 
5993.000	48.000	73230.000	535116.000	46.000	630154.000	1528207225971059.000	1528207226601213.000	glass-15.jpg	2116.000 
788.000	57.000	74140.000	530936.000	53.000	712634.000	1528207225979558.000	1528207226692192.000	fw_01 (60).jpg	72159.000 
8.000	47.000	77591.000	600967.000	54.000	761653.000	1528207225988008.000	1528207226749661.000	91_176.jpg	71683.000 
8.000	48.000	89687.000	622118.000	7.000	855857.000	1528207225996377.000	1528207226852234.000	tre_01 (163).jpg	95750.000 
8.000	11.000	118868.000	712754.000	70.000	874321.000	1528207226004136.000	1528207226878457.000	flo_01 (409).jpg	30308.000 
2579.000	8.000	126680.000	691917.000	56.000	1022903.000	1528207226005398.000	1528207227028301.000	forest-29.jpg	5297.000 
5516.000	8.000	169968.000	825609.000	11.000	1037643.000	1528207226006621.000	1528207227044264.000	mountain-111.jpg	4457.000 
8050.000	49.000	182521.000	826513.000	8.000	1056603.000	1528207226007831.000	1528207227064434.000	zion-national-park-7.jpg	4629.000 
4021.000	52.000	193935.000	833561.000	7.000	1055697.000	1528207226015524.000	1528207227071221.000	014_205.jpg	54593.000 
11.000	45.000	203018.000	816379.000	10.000	1065206.000	1528207226023538.000	1528207227088744.000	lan_01 (307).jpg	67615.000 
8.000	47.000	219391.000	802369.000	37.000	1320287.000	1528207226030988.000	1528207227351275.000	bal_01 (52).jpg	44277.000 
8.000	58.000	243552.000	1052868.000	30.000	1326387.000	1528207226038515.000	1528207227364902.000	fw_01 (26).jpg	32858.000 
2472.000	46.000	251585.000	1050336.000	11.000	1353676.000	1528207226039730.000	1528207227393406.000	death-valley-9.jpg	4083.000 
5227.000	51.000	264048.000	1052385.000	45.000	1400696.000	1528207226040951.000	1528207227441647.000	monterey.jpg	3695.000 
1231.000	44.000	286716.000	1080444.000	36.000	1419589.000	1528207226048691.000	1528207227468280.000	54_112.jpg	36740.000 
7.000	8.000	300187.000	1090608.000	44.000	1422046.000	1528207226056492.000	1528207227478538.000	93_106.jpg	60277.000 
7.000	9.000	309458.000	1089071.000	11.000	1425299.000	1528207226063867.000	1528207227489166.000	flo_01 (272).jpg	24675.000 
9.000	9.000	312986.000	1078814.000	10.000	1439592.000	1528207226072065.000	1528207227511657.000	025_149.jpg	42254.000 
9.000	15.000	326778.000	1093884.000	6.000	1433498.000	1528207226079445.000	1528207227512943.000	017.jpg	19280.000 
8.000	10.000	326564.000	1076544.000	14.000	1436682.000	1528207226086907.000	1528207227523589.000	036_185.jpg	15739.000 
9.000	10.000	495840.000	893413.000	60.000	1641446.000	1528207226094729.000	1528207227736175.000	089_206.jpg	42465.000 
2697.000	8.000	527046.000	1082945.000	54.000	1674745.000	1528207226095940.000	1528207227770685.000	biscuit-basin-2.jpg	3942.000 
8.000	8.000	583795.000	1055403.000	52.000	1706171.000	1528207226103849.000	1528207227810020.000	20_161.jpg	55064.000 
